# Wavelength[nm], Reflectance
1.338893129007029984e+03 7.817103903124614783e-01
1.339081045459214920e+03 7.744653907744676324e-01
1.339268839729051479e+03 7.758844009550049936e-01
1.339456633998888037e+03 7.849646238023461065e-01
1.339644672633421806e+03 7.860341084720163796e-01
1.339832711267955574e+03 7.821496507990650660e-01
1.340020749902489342e+03 7.854353516985245198e-01
1.340208910719371715e+03 7.840531209631862453e-01
1.340397071536254089e+03 7.877151664694349575e-01
1.340585232353136462e+03 7.844229739973359594e-01
1.340773515352367440e+03 7.856581808148631607e-01
1.340961798351598418e+03 7.769607772558642100e-01
1.341150203533178001e+03 7.810231225634270968e-01
1.341338730897106188e+03 7.816948168973409938e-01
1.341527258261034376e+03 7.899659583018833198e-01
1.341715785624962791e+03 7.818113637095669421e-01
1.341904312988890979e+03 7.786028715298760616e-01
1.342092962535167771e+03 7.836384687455479892e-01
1.342281734263793169e+03 7.782528045428226404e-01
1.342470505992418794e+03 7.721620579562017417e-01
1.342659277721044191e+03 7.783262214357944409e-01
1.342848293814367025e+03 7.736919847677623530e-01
1.343037187725341028e+03 7.700637971125314785e-01
1.343226203818663862e+03 7.660544890273972563e-01
1.343415219911986696e+03 7.610273476913804735e-01
1.343604358187657908e+03 7.569071738878619948e-01
1.343793496463329348e+03 7.448777412436260459e-01
1.343982756921349392e+03 7.449645516353844421e-01
1.344172139561718041e+03 7.364567470013334560e-01
1.344361277837389252e+03 7.197616544339383582e-01
1.344550782660106506e+03 6.961188617389427735e-01
1.344740165300475155e+03 6.823779499424466044e-01
1.344929792305541014e+03 6.687594469619209114e-01
1.345119297128258268e+03 6.859878453181595948e-01
1.345308924133324126e+03 7.029112025468648994e-01
1.345498673320738590e+03 7.255397286898773723e-01
1.345688300325804448e+03 7.432826394654841184e-01
1.345878171695567744e+03 7.550037035501504512e-01
1.346068043065330812e+03 7.660764655800705869e-01
1.346257914435093880e+03 7.729084309010249010e-01
1.346447907987205554e+03 7.799984513307813838e-01
1.346637901539317454e+03 7.775694016373961848e-01
1.346827895091429127e+03 7.835166450295824037e-01
1.347018010825889405e+03 7.823127983646344097e-01
1.347208248742698515e+03 7.821893123896126454e-01
1.347398486659507398e+03 7.859457686454933700e-01
1.347588724576316508e+03 7.834404028143173715e-01
1.347779206857822601e+03 7.888189834215347807e-01
1.347969566956980316e+03 7.919043158084527745e-01
1.348160049238486636e+03 7.918504049049740479e-01
1.348350531519992728e+03 7.947732808183896047e-01
1.348541135983847653e+03 7.966605653026315181e-01
1.348731862630051182e+03 7.966509223627881164e-01
1.348922467093906107e+03 7.868329953651124198e-01
1.349113193740109409e+03 7.922842136726208073e-01
1.349304042568661544e+03 7.860690335731461698e-01
1.349494891397213678e+03 7.953316041415059434e-01
1.349685862408114417e+03 7.921611799956176370e-01
1.349876833419015156e+03 7.941468041578831905e-01
1.350067926612264500e+03 7.934060388739527792e-01
1.350258897623165240e+03 7.949968878133039096e-01
1.350450112998763188e+03 7.902794463413472803e-01
1.350641328374361365e+03 7.875806189796722423e-01
1.350832543749959314e+03 7.889841224326822333e-01
1.351023881307905867e+03 7.967488012124845920e-01
1.351215341048201026e+03 7.911070571347338376e-01
1.351406556423799202e+03 7.960137839916456848e-01
1.351598138346442965e+03 7.967578797493345411e-01
1.351789720269086956e+03 8.000028430824497327e-01
